ddeg,total,stage,ddeg_cent
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
58,16,1,-313.018320610687
82,10,1,-289.018320610687
82,10,1,-289.018320610687
82,10,1,-289.018320610687
82,10,1,-289.018320610687
82,10,1,-289.018320610687
82,10,1,-289.018320610687
82,10,1,-289.018320610687
82,10,1,-289.018320610687
82,10,1,-289.018320610687
82,10,1,-289.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,1,-264.018320610687
107,30,2,-264.018320610687
107,30,2,-264.018320610687
107,30,2,-264.018320610687
107,30,2,-264.018320610687
107,30,2,-264.018320610687
107,30,2,-264.018320610687
107,30,2,-264.018320610687
155,47,1,-216.018320610687
155,47,1,-216.018320610687
155,47,1,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
155,47,2,-216.018320610687
237,64,2,-134.018320610687
237,64,2,-134.018320610687
237,64,2,-134.018320610687
237,64,2,-134.018320610687
237,64,2,-134.018320610687
237,64,2,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,3,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
237,64,4,-134.018320610687
307,74,2,-64.018320610687
307,74,2,-64.018320610687
307,74,3,-64.018320610687
307,74,3,-64.018320610687
307,74,3,-64.018320610687
307,74,3,-64.018320610687
307,74,3,-64.018320610687
307,74,3,-64.018320610687
307,74,3,-64.018320610687
307,74,3,-64.018320610687
307,74,3,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,4,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
307,74,5,-64.018320610687
342,72,3,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,4,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
342,72,5,-29.018320610687
388,103,3,16.981679389313
388,103,4,16.981679389313
388,103,4,16.981679389313
388,103,4,16.981679389313
388,103,4,16.981679389313
388,103,4,16.981679389313
388,103,4,16.981679389313
388,103,4,16.981679389313
388,103,4,16.981679389313
388,103,4,16.981679389313
388,103,4,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,5,16.981679389313
388,103,6,16.981679389313
388,103,6,16.981679389313
388,103,6,16.981679389313
388,103,6,16.981679389313
388,103,6,16.981679389313
442,81,4,70.981679389313
442,81,4,70.981679389313
442,81,4,70.981679389313
442,81,4,70.981679389313
442,81,4,70.981679389313
442,81,4,70.981679389313
442,81,4,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,7,146.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
